Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.52.132-192.168.52.2-58237-53-17,192.168.52.132,58237,192.168.52.2,53,17,18550,0,2,0,153,0,0,0,0,123,30,76.5,65.76093065,8247.978437,107.8167116,18550,0,18550,18550,0,0,0,0,0,18550,18550,0,18550,18550,0,0,0,0,0,16,0,107.8167116,30,123,61,53.69357503,2883,0,0,0,0,0,0,0,0,0,91.5,0,76.5,0,0,0,0,0,0,0,0,2,153,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-63.251.14.3-64938-443-6,192.168.52.132,64938,63.251.14.3,443,6,363,0,2,0,0,0,0,0,0,0,0,0,0,0,5509.641873,363,0,363,363,0,0,0,0,0,363,363,0,363,363,0,0,0,0,0,40,0,5509.641873,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,64239,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-58786-53-17,192.168.52.132,58786,192.168.52.2,53,17,8125,0,2,0,74,0,0,0,0,45,29,37,11.3137085,9107.692308,246.1538462,8125,0,8125,8125,0,0,0,0,0,8125,8125,0,8125,8125,0,0,0,0,0,16,0,246.1538462,29,45,34.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,0,51.5,0,37,0,0,0,0,0,0,0,0,2,74,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-60617-53-17,192.168.52.132,60617,192.168.52.2,53,17,249385,0,2,0,469,0,0,0,0,426,43,234.5,270.8218972,1880.626341,8.019728532,249385,0,249385,249385,0,0,0,0,0,249385,249385,0,249385,249385,0,0,0,0,0,16,0,8.019728532,43,426,170.6666667,221.1251531,48896.33333,0,0,0,0,0,0,0,0,0,256,0,234.5,0,0,0,0,0,0,0,0,2,469,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-62362-53-17,192.168.52.132,62362,192.168.52.2,53,17,13653,0,2,0,119,0,0,0,0,86,33,59.5,37.4766594,8716.033106,146.4879514,13653,0,13653,13653,0,0,0,0,0,13653,13653,0,13653,13653,0,0,0,0,0,16,0,146.4879514,33,86,50.66666667,30.59956427,936.3333333,0,0,0,0,0,0,0,0,0,76,0,59.5,0,0,0,0,0,0,0,0,2,119,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-49997-53-17,192.168.52.132,49997,192.168.52.2,53,17,226704,0,2,0,195,0,0,0,0,149,46,97.5,72.83199846,860.1524455,8.822076364,226704,0,226704,226704,0,0,0,0,0,226704,226704,0,226704,226704,0,0,0,0,0,16,0,8.822076364,46,149,80.33333333,59.46707773,3536.333333,0,0,0,0,0,0,0,0,0,120.5,0,97.5,0,0,0,0,0,0,0,0,2,195,-1,-1,0,0,0,0,0,0,0,0,0,0,0
185.184.8.90-192.168.52.132-443-56033-6,192.168.52.132,56033,185.184.8.90,443,6,26226667,1,2,0,1,0,0,0,0,1,0,0.5,0.707106781,0.03812913,0.114387391,1.31E+07,1.85E+07,2.62E+07,147,0,0,0,0,0,147,147,0,147,147,0,0,0,0,20,40,0.03812913,0.07625826,0,1,0.5,0.577350269,0.333333333,0,0,0,0,1,0,0,0,2,0.666666667,0,0.5,0,0,0,0,0,0,1,0,2,1,-1,64240,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-52403-53-17,192.168.52.132,52403,192.168.52.2,53,17,12840,0,2,0,113,0,0,0,0,84,29,56.5,38.89087297,8800.623053,155.7632399,12840,0,12840,12840,0,0,0,0,0,12840,12840,0,12840,12840,0,0,0,0,0,16,0,155.7632399,29,84,47.33333333,31.75426481,1008.333333,0,0,0,0,0,0,0,0,0,71,0,56.5,0,0,0,0,0,0,0,0,2,113,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-63844-53-17,192.168.52.132,63844,192.168.52.2,53,17,22143,0,2,0,133,0,0,0,0,99,34,66.5,45.96194078,6006.412862,90.32199792,22143,0,22143,22143,0,0,0,0,0,22143,22143,0,22143,22143,0,0,0,0,0,16,0,90.32199792,34,99,55.66666667,37.5277675,1408.333333,0,0,0,0,0,0,0,0,0,83.5,0,66.5,0,0,0,0,0,0,0,0,2,133,-1,-1,0,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-61961-53-17,192.168.52.132,61961,192.168.52.2,53,17,239465,0,2,0,160,0,0,0,0,120,40,80,56.56854249,668.156098,8.351951225,239465,0,239465,239465,0,0,0,0,0,239465,239465,0,239465,239465,0,0,0,0,0,16,0,8.351951225,40,120,66.66666667,46.18802154,2133.333333,0,0,0,0,0,0,0,0,0,100,0,80,0,0,0,0,0,0,0,0,2,160,-1,-1,0,0,0,0,0,0,0,0,0,0,0
172.217.163.36-192.168.52.132-443-64335-17,192.168.52.132,64335,172.217.163.36,443,17,4001088,4,1,5000,1250,1250,1250,1250,0,1250,1250,1250,0,1562.075116,1.249660092,1000272,698352.4762,1887334,306608,3694480,1231493.333,640909.0743,1887334,606640,0,0,0,0,0,0,0,0,0,32,8,0.999728074,0.249932018,1250,1250,1250,0,0,0,0,0,0,0,0,0,0,0,1500,1250,1250,0,0,0,0,0,0,4,5000,1,1250,-1,-1,4,0,0,0,0,0,0,0,0,0,0
192.168.52.132-192.168.52.2-64276-53-17,192.168.52.132,64276,192.168.52.2,53,17,13291,0,2,0,175,0,0,0,0,141,34,87.5,75.66042559,13166.8046,150.4777669,13291,0,13291,13291,0,0,0,0,0,13291,13291,0,13291,13291,0,0,0,0,0,16,0,150.4777669,34,141,69.66666667,61.7764788,3816.333333,0,0,0,0,0,0,0,0,0,104.5,0,87.5,0,0,0,0,0,0,0,0,2,175,-1,-1,0,0,0,0,0,0,0,0,0,0,0
